0,33
1,0
2,325000
3,0
4,330000
5,0
6,335000
7,0
8,340000
9,0
10,345000
11,0
12,350000
13,0
14,355000
15,0
16,360000
17,0
18,365000
19,0
20,370000
21,0
22,375000
23,0
24,380000
25,0
26,385000
27,0
28,390000
29,0
30,395000
31,0
32,400000
33,0
34,405000
35,0
36,410000
37,0
38,415000
39,0
40,420000
41,0
42,425000
43,0
44,430000
45,0
46,435000
47,0
48,440000
49,0
50,445000
51,0
52,450000
53,0
54,455000
55,0
56,460000
57,0
58,465000
59,0
60,470000
61,0
62,475000
63,0
64,480000
65,0
66,33
67,0
68,485000
69,0
70,490000
71,0
72,495000
73,0
74,500000
75,0
76,505000
77,0
78,510000
79,0
80,515000
81,0
82,520000
83,0
84,525000
85,0
86,530000
87,0
88,535000
89,0
90,540000
91,0
92,545000
93,0
94,550000
95,0
96,555000
97,0
98,560000
99,0
100,565000
101,0
102,570000
103,0
104,575000
105,0
106,580000
107,0
108,585000
109,0
110,590000
111,0
112,595000
113,0
114,600000
115,0
116,605000
117,0
118,610000
119,0
120,615000
121,0
122,620000
123,0
124,625000
125,0
126,630000
127,0
128,635000
129,0
130,640000
131,0
