0,22
1,63008
2,325000
3,9984
4,330000
5,10496
6,335000
7,23808
8,340000
9,29696
10,345000
11,20480
12,350000
13,55296
14,355000
15,60416
16,360000
17,59904
18,365000
19,8192
20,370000
21,8960
22,375000
23,22528
24,380000
25,28928
26,385000
27,57344
28,390000
29,48640
30,395000
31,54528
32,400000
33,18688
34,405000
35,13056
36,410000
37,11776
38,415000
39,24320
40,420000
41,68608
42,425000
43,14592
44,430000
45,50176
46,435000
47,54528
48,440000
49,57600
50,445000
51,8192
52,450000
53,7936
54,455000
55,21504
56,460000
57,28928
58,465000
59,58112
60,470000
61,46080
62,475000
63,50176
64,480000
65,0
66,22
67,53792
68,485000
69,4352
70,490000
71,5632
72,495000
73,19712
74,500000
75,27904
76,505000
77,20224
78,510000
79,53760
80,515000
81,58624
82,520000
83,60160
84,525000
85,9216
86,530000
87,8192
88,535000
89,21504
90,540000
91,29184
92,545000
93,59136
94,550000
95,47872
96,555000
97,53504
98,560000
99,18944
100,565000
101,14080
102,570000
103,49152
104,575000
105,52736
106,580000
107,56576
108,585000
109,6400
110,590000
111,41216
112,595000
113,8192
114,600000
115,57856
116,605000
117,6400
118,610000
119,42752
120,615000
121,49920
122,620000
123,14848
124,625000
125,11008
126,630000
127,8192
128,635000
129,19968
130,640000
131,0
